Day,Total Day Calories,Calories Burn
1,3795,2526
2,3770,2526
3,4480,2526
4,3677,2526
5,3936,2526
6,3819,2526
7,3959,2526
8,4328,2526
9,3825,2526
10,3614,2615
11,4468,2615
12,3863,2615
13,4026,2615
14,3492,2615
15,3748,2615
16,4328,2615
17,3890,2645
18,3931,2645
19,4520,2645
20,3598,2645
21,3627,2645
22,4020,2645
23,3770,2645
24,3740,2700
25,3831,2700
26,3852,2700
27,3953,2700
28,4322,2700
29,3862,2700
30,3771,2700
,117815,78454
