Day,Total Day Calories,Calories Burn
1,1864,2484
2,1750,2484
3,1784,2484
4,2069,2484
5,1932,2484
6,2100,2484
7,1986,2484
8,1989,2500
9,1874,2500
10,2016,2500
11,1850,2500
12,2054,2500
13,2084,2500
14,2040,2500
15,1890,2500
16,2109,2500
17,2071,2500
18,2016,2526
19,1760,2526
20,2146,2526
21,2003,2526
22,2038,2526
23,2092,2526
24,1789,2526
25,2010,2526
26,2047,2526
27,2281,2526
28,1714,2526
29,2026,2526
30,2000,2546
,59384,75246
