Day,Total Day Calories,Calories Burn
1,3138,2484
2,3170,2484
3,3136,2484
4,3126,2484
5,3268,2484
6,3108,2484
7,3286,2484
8,3238,2500
9,3302,2500
10,3002,2500
11,3234,2500
12,3198,2500
13,3318,2500
14,2968,2500
15,3414,2500
16,3158,2500
17,3160,2500
18,3408,2526
19,3150,2526
20,3084,2526
21,3104,2526
22,3322,2526
23,3170,2526
24,3250,2526
25,3334,2526
26,3152,2526
27,3142,2526
28,3202,2526
29,3128,2526
30,3114,2546
,95782,75246
