Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,1,Beef Steak,100gm,White Rice and mixed vegetables,800
2,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,580
3,200gm,Chicken/Beef Biryani, ,None,680
4,1,Beef Steak,100gm,White Rice and mixed vegetables,800
5,1,Beef Steak,100gm,White Rice and mixed vegetables,800
6,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
7,1,Beef Steak,100gm,White Rice and mixed vegetables,800
8,200gm ,Beef Pulao,1,Raita,650
9,1,Beef Steak,100gm,White Rice and mixed vegetables,800
10,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
11,200gm,Chicken/Beef Biryani, ,None,680
12,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
13,1,Beef Steak,100gm,White Rice and mixed vegetables,800
14,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
15,200gm ,Beef Pulao,1,Raita,650
16,1,Beef Steak,100gm,White Rice and mixed vegetables,800
17,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
18,1,Beef Steak,100gm,White Rice and mixed vegetables,800
19,200gm,Chicken/Beef Biryani, ,None,680
20,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
21,1,Beef Steak,100gm,White Rice and mixed vegetables,800
22,1,Beef Steak,100gm,White Rice and mixed vegetables,800
23,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
24,200gm ,Beef Pulao,1,Raita,650
25,1,Beef Steak,100gm,White Rice and mixed vegetables,800
26,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
27,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
28,200gm,Chicken/Beef Biryani, ,None,680
29,150gm,Cooked chicken,200gm,White Rice and mixed vegetables,922
30,1,Beef Steak,100gm,White Rice and mixed vegetables,800
