Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,100gm,Keema Aalo,1,Paratha,373
2,1,Chapli kabab,1,Paratha ,415
3,1,Pakistani Omelette,1,Paratha,378
4,150gm,Murgh Cholay,1,Paratha,410
5,1,Chapli kabab,1,Paratha ,415
6,100gm,Keema Aalo,1,Paratha,373
7,1,Pakistani Omelette,1,Paratha,378
8,150gm,Murgh Cholay,1,Paratha,410
9,1,Chapli kabab,1,Paratha ,415
10,100gm,Keema Aalo,1,Paratha,373
11,1,Pakistani Omelette,1,Paratha,378
12,150gm,Murgh Cholay,1,Paratha,410
13,1,Chapli kabab,1,Paratha ,415
14,100gm,Keema Aalo,1,Paratha,373
15,1,Pakistani Omelette,1,Paratha,378
16,150gm,Murgh Cholay,1,Paratha,410
17,150gm,Murgh Cholay,1,Paratha,410
18,1,Chapli kabab,1,Paratha ,415
19,100gm,Keema Aalo,1,Paratha,373
20,1,Pakistani Omelette,1,Paratha,378
21,1,Chapli kabab,1,Paratha ,415
22,150gm,Murgh Cholay,1,Paratha,410
23,1,Chapli kabab,1,Paratha ,415
24,150gm,Murgh Cholay,1,Paratha,410
25,1,Pakistani Omelette,1,Paratha,378
26,100gm,Keema Aalo,1,Paratha,373
27,150gm,Murgh Cholay,1,Paratha,410
28,1,Chapli kabab,1,Paratha ,415
29,100gm,Keema Aalo,1,Paratha,373
30,1,Pakistani Omelette,1,Paratha,378
